Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Rabu,16 Agustus 2023,15:14:47,nan,-
Rabu,16 Agustus 2023,15:14:48,nan,-
Rabu,16 Agustus 2023,15:14:49,nan,-
Rabu,16 Agustus 2023,15:14:50,nan,-
Rabu,16 Agustus 2023,15:14:51,40.89836065573774,-
Rabu,16 Agustus 2023,15:14:52,nan,-
Rabu,16 Agustus 2023,15:14:53,nan,-
Rabu,16 Agustus 2023,15:14:54,nan,-
Rabu,16 Agustus 2023,15:14:55,1360.0800000000775,-
Rabu,16 Agustus 2023,15:14:56,1793.6999999997197,-
Rabu,16 Agustus 2023,15:14:57,1271.9999999999518,-
Rabu,16 Agustus 2023,15:14:58,1362.5999999999483,-
Rabu,16 Agustus 2023,15:14:59,1250.7428571427251,-
Rabu,16 Agustus 2023,15:15:00,1326.8571428570028,-
Rabu,16 Agustus 2023,15:15:01,1640.399999999938,-
Rabu,16 Agustus 2023,15:15:02,2072.880000000118,-
Rabu,16 Agustus 2023,15:15:03,3569.999999999865,-
Rabu,16 Agustus 2023,15:15:04,nan,-
Rabu,16 Agustus 2023,15:15:05,nan,-
Rabu,16 Agustus 2023,15:15:06,nan,-
Rabu,16 Agustus 2023,15:15:07,nan,-
Rabu,16 Agustus 2023,15:15:08,nan,-
Rabu,16 Agustus 2023,15:15:09,nan,-
Rabu,16 Agustus 2023,15:15:10,nan,-
Rabu,16 Agustus 2023,15:15:11,nan,-
Rabu,16 Agustus 2023,15:15:12,nan,-
Rabu,16 Agustus 2023,15:15:13,nan,-
Rabu,16 Agustus 2023,15:15:14,nan,-
Rabu,16 Agustus 2023,15:15:15,nan,-
Rabu,16 Agustus 2023,15:15:16,nan,-
Rabu,16 Agustus 2023,15:15:17,nan,-
Rabu,16 Agustus 2023,15:15:18,nan,-
Rabu,16 Agustus 2023,15:15:19,nan,-
Rabu,16 Agustus 2023,15:15:20,nan,-
Rabu,16 Agustus 2023,15:15:21,nan,-
Rabu,16 Agustus 2023,15:15:22,nan,-
Rabu,16 Agustus 2023,15:15:23,nan,-
Rabu,16 Agustus 2023,15:15:24,nan,-
Rabu,16 Agustus 2023,15:15:25,nan,-
Rabu,16 Agustus 2023,15:15:26,nan,-
Rabu,16 Agustus 2023,15:15:27,nan,-
Rabu,16 Agustus 2023,15:15:28,nan,-
Rabu,16 Agustus 2023,15:15:29,nan,-
Rabu,16 Agustus 2023,15:15:30,nan,-
Rabu,16 Agustus 2023,15:15:31,nan,-
Rabu,16 Agustus 2023,15:15:32,nan,-
Rabu,16 Agustus 2023,15:15:33,nan,-
Rabu,16 Agustus 2023,15:15:34,nan,-
Rabu,16 Agustus 2023,15:15:35,nan,-
Rabu,16 Agustus 2023,15:15:36,nan,-
Rabu,16 Agustus 2023,15:15:37,nan,-
Rabu,16 Agustus 2023,15:15:38,nan,-
Rabu,16 Agustus 2023,15:15:39,nan,-
Rabu,16 Agustus 2023,15:15:40,nan,-
Rabu,16 Agustus 2023,15:15:41,nan,-
Rabu,16 Agustus 2023,15:15:42,nan,-
Rabu,16 Agustus 2023,15:15:43,nan,-
Rabu,16 Agustus 2023,15:15:44,nan,-
Rabu,16 Agustus 2023,15:15:45,nan,-
Rabu,16 Agustus 2023,15:15:46,nan,-
Rabu,16 Agustus 2023,15:15:47,nan,-
Rabu,16 Agustus 2023,15:15:48,nan,-
Rabu,16 Agustus 2023,15:15:49,nan,-
Rabu,16 Agustus 2023,15:15:50,nan,-
Rabu,16 Agustus 2023,15:15:51,nan,-
Rabu,16 Agustus 2023,15:15:52,nan,-
Rabu,16 Agustus 2023,15:15:53,nan,-
Rabu,16 Agustus 2023,15:15:54,nan,-
Rabu,16 Agustus 2023,15:15:55,nan,-
Rabu,16 Agustus 2023,15:15:56,nan,-
Rabu,16 Agustus 2023,15:15:57,2782.200000000224,-
Rabu,16 Agustus 2023,15:15:58,nan,-
Rabu,16 Agustus 2023,15:15:59,nan,-
Rabu,16 Agustus 2023,15:16:00,nan,-
Rabu,16 Agustus 2023,15:16:01,nan,-
Rabu,16 Agustus 2023,15:16:02,nan,-
Rabu,16 Agustus 2023,15:16:03,nan,-
Rabu,16 Agustus 2023,15:16:04,nan,-
Rabu,16 Agustus 2023,15:16:05,254.3999999999999,-
